"filename", "language", "XML", "Java Properties", "Java", "Batch", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\WEB\Project-Shop-Spring-Boot\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\WEB\Project-Shop-Spring-Boot\checkstyle.xml", "XML", 99, 0, 0, 0, 0, 0, 0, 16, 19, 134
"e:\WEB\Project-Shop-Spring-Boot\mvnw.cmd", "Batch", 0, 0, 0, 139, 0, 0, 0, 26, 25, 190
"e:\WEB\Project-Shop-Spring-Boot\pom.xml", "XML", 110, 0, 0, 0, 0, 0, 0, 12, 14, 136
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\Application.java", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\configs\CheckDb.java", "Java", 0, 0, 40, 0, 0, 0, 0, 5, 9, 54
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\configs\ErrorConfigController.java", "Java", 0, 0, 23, 0, 0, 0, 0, 3, 6, 32
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\configs\SwaggerConfig.java", "Java", 0, 0, 32, 0, 0, 0, 0, 3, 5, 40
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\AdminController.java", "Java", 0, 0, 30, 0, 0, 0, 0, 0, 16, 46
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\AuthController.java", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\CartController.java", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\Contactcontroller.java", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\HealthController.java", "Java", 0, 0, 28, 0, 0, 0, 0, 9, 7, 44
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\HomeController.java", "Java", 0, 0, 26, 0, 0, 0, 0, 9, 7, 42
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\NewsController.java", "Java", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"e:\WEB\Project-Shop-Spring-Boot\src\main\java\com\example\spring_boot\controllers\ProductController.java", "Java", 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\application.properties", "Java Properties", 0, 40, 0, 0, 0, 0, 0, 37, 13, 90
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\css\mona.css", "CSS", 0, 0, 0, 0, 0, 0, 68, 4, 4, 76
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 1, 10, 48
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\admin-sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 64, 0, 2, 9, 75
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\cart.js", "JavaScript", 0, 0, 0, 0, 0, 96, 0, 15, 22, 133
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\header-menu.js", "JavaScript", 0, 0, 0, 0, 0, 61, 0, 13, 12, 86
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\index.js", "JavaScript", 0, 0, 0, 0, 0, 570, 0, 14, 19, 603
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\main-modal.js", "JavaScript", 0, 0, 0, 0, 0, 548, 0, 39, 112, 699
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\news-detail.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 6, 6, 69
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\news.js", "JavaScript", 0, 0, 0, 0, 0, 88, 0, 0, 4, 92
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\product-detail.js", "JavaScript", 0, 0, 0, 0, 0, 178, 0, 7, 7, 192
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\products.js", "JavaScript", 0, 0, 0, 0, 0, 117, 0, 1, 11, 129
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\static\js\wishlist.js", "JavaScript", 0, 0, 0, 0, 0, 184, 0, 4, 22, 210
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\analytics.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\customers-blocked-history.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\customers.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\dashboard.html", "HTML", 0, 0, 0, 0, 62, 0, 0, 2, 6, 70
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\news-create.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\news-deleted.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\news.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\orders-pending.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\orders.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\products-create.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\products-deleted.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\products.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\about.html", "HTML", 0, 0, 0, 0, 257, 0, 0, 7, 22, 286
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\cart.html", "HTML", 0, 0, 0, 0, 221, 0, 0, 15, 23, 259
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\contact.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 4, 4, 89
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\health-db.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 9, 11, 104
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\index.html", "HTML", 0, 0, 0, 0, 247, 0, 0, 47, 23, 317
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\news-detail.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 13, 9, 148
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\news.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 8, 9, 84
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\product-detail.html", "HTML", 0, 0, 0, 0, 255, 0, 0, 7, 19, 281
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\products.html", "HTML", 0, 0, 0, 0, 113, 0, 0, 9, 10, 132
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\wishlist.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 6, 6, 90
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\config\health-db.html", "HTML", 0, 0, 0, 0, 88, 0, 0, 13, 10, 111
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\404.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 8, 9, 143
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\500.html", "HTML", 0, 0, 0, 0, 135, 0, 0, 9, 11, 155
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\error.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 8, 9, 143
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\authLayout.html", "HTML", 0, 0, 0, 0, 113, 0, 0, 6, 12, 131
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\footer.html", "HTML", 0, 0, 0, 0, 92, 0, 0, 11, 10, 113
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\header.html", "HTML", 0, 0, 0, 0, 355, 0, 0, 22, 42, 419
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\main-layout.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 4, 4, 57
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\sidebar.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 2, 1, 12
"e:\WEB\Project-Shop-Spring-Boot\src\test\java\com\example\spring_boot\ApplicationTests.java", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 209, 43, 273, 139, 2750, 1963, 105, 436, 672, 6590